"SourceFile";"FileName";"CreateDate";"GPSPosition";"newfilename";"lon";"lat";"Ano";"Mes";"Dia";"Hora";"Min";"Seg";"filepath"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_114403_dri_mal_038.jpg";"20171123_114403_dri_mal_038.jpg";"2017:11:23 11:44:03";"42.9250012777778 -9.06002075";"20171123_114403_dri_mal_038.jpg";-9,06002;42,925;"2017";"11";"23";"11";"44";"03";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_114403_dri_mal_038.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_115304_dri_mal_039.jpg";"20171123_115304_dri_mal_039.jpg";"2017:11:23 11:53:04";"42.9254689444444 -9.05541447222222";"20171123_115304_dri_mal_039.jpg";-9,05541;42,92546;"2017";"11";"23";"11";"53";"04";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_115304_dri_mal_039.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_115309_dri_mal_040.jpg";"20171123_115309_dri_mal_040.jpg";"2017:11:23 11:53:09";"42.9254816666667 -9.05542169444444";"20171123_115309_dri_mal_040.jpg";-9,05542;42,92548;"2017";"11";"23";"11";"53";"09";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_115309_dri_mal_040.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_120340_dri_mal_041.jpg";"20171123_120340_dri_mal_041.jpg";"2017:11:23 12:03:40";"42.9247514166667 -9.05373163888889";"20171123_120340_dri_mal_041.jpg";-9,05373;42,92475;"2017";"11";"23";"12";"03";"40";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_120340_dri_mal_041.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_120348_dri_mal_042.jpg";"20171123_120348_dri_mal_042.jpg";"2017:11:23 12:03:48";"42.9247445555556 -9.05374283333333";"20171123_120348_dri_mal_042.jpg";-9,05374;42,92474;"2017";"11";"23";"12";"03";"48";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_120348_dri_mal_042.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_120906_dri_mal_043.jpg";"20171123_120906_dri_mal_043.jpg";"2017:11:23 12:09:06";;"20171123_120906_dri_mal_043.jpg";;;"2017";"11";"23";"12";"09";"06";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_120906_dri_mal_043.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_121339_dri_mal_044.jpg";"20171123_121339_dri_mal_044.jpg";"2017:11:23 12:13:39";"42.9235329166667 -9.05249069444444";"20171123_121339_dri_mal_044.jpg";-9,05249;42,92353;"2017";"11";"23";"12";"13";"39";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_121339_dri_mal_044.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_121343_dri_mal_045.jpg";"20171123_121343_dri_mal_045.jpg";"2017:11:23 12:13:43";"42.9235427777778 -9.05248902777778";"20171123_121343_dri_mal_045.jpg";-9,05248;42,92354;"2017";"11";"23";"12";"13";"43";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_121343_dri_mal_045.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_122412_dri_mal_046.jpg";"20171123_122412_dri_mal_046.jpg";"2017:11:23 12:24:12";"42.9208276111111 -9.04672730555555";"20171123_122412_dri_mal_046.jpg";-9,04672;42,92082;"2017";"11";"23";"12";"24";"12";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_122412_dri_mal_046.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_122418_dri_mal_047.jpg";"20171123_122418_dri_mal_047.jpg";"2017:11:23 12:24:18";"42.9208218611111 -9.04672438888889";"20171123_122418_dri_mal_047.jpg";-9,04672;42,92082;"2017";"11";"23";"12";"24";"18";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_122418_dri_mal_047.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_123152_dri_mal_048.jpg";"20171123_123152_dri_mal_048.jpg";"2017:11:23 12:31:52";"42.9220836388889 -9.04791822222222";"20171123_123152_dri_mal_048.jpg";-9,04791;42,92208;"2017";"11";"23";"12";"31";"52";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_123152_dri_mal_048.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_123946_dri_mal_049.jpg";"20171123_123946_dri_mal_049.jpg";"2017:11:23 12:39:46";"42.9195256111111 -9.04559111111111";"20171123_123946_dri_mal_049.jpg";-9,04559;42,91952;"2017";"11";"23";"12";"39";"46";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_123946_dri_mal_049.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_124950_dri_mal_050.jpg";"20171123_124950_dri_mal_050.jpg";"2017:11:23 12:49:50";"42.9182409444444 -9.04448427777778";"20171123_124950_dri_mal_050.jpg";-9,04448;42,91824;"2017";"11";"23";"12";"49";"50";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_124950_dri_mal_050.jpg"
