"filepath";"estado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479294910772.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479295384197.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479296244009.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479296769828.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479297240528.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479299787253.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479369453026.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479370123254.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479370623213.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371214581.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371557441.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371982798.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479372402885.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479372953798.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479375745010.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479376291044.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479376717089.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377118277.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377456743.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377987489.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479378407529.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479378836815.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479379374921.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479379815828.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479380153579.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479380671077.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479381117009.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479721961623.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479729471364.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479736460755.gpx";"archivo corrupto"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479808213275.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479808704018.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479809415545.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479810042362.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479810495087.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479812957390.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479813419182.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479813972550.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479814478329.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815116907.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815528565.gpx";"archivo corrupto"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815821769.gpx";"archivo corrupto"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479815920562.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479816379997.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479816716635.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479817096908.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479817552248.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479818127806.gpx";"archivo corrupto"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479894595201.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895086250.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895404021.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479895815362.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479896222194.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479896600430.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479896992673.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479897362080.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479897690026.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479898102236.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479898446431.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479898790701.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479899413610.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479899828964.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479900252310.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479900575923.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479900987830.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479901431100.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479901754623.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479902055592.gpx";"DF vacío tras TrackToDF"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479902129031.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479902204686.gpx";"DF vacío tras TrackToDF"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479903069367.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479903583295.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479903926379.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479904253602.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479904531978.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479904873354.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479905235217.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479905600745.gpx";"archivo corrupto"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/7/Adantia Track Logger_1482132894326.gpx";"error 03 en PPEElines"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/8/20180312_14_mal.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/8/20180312_14_svp.gpx";"procesado"
