"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0956";"63";"PLGA";"2016-11-16 12:15:15";"2016-11-16 12:19:26";251;205,360355530197;"772";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479294910772.gpx"
"0958";"65";"PLGA";"2016-11-16 12:23:09";"2016-11-16 12:26:16";187;137,89561625867;"197";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479295384197.gpx"
"0914";"21";"PLGA";"2016-11-16 12:37:28";"2016-11-16 12:42:22";294;190,324520988802;"009";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479296244009.gpx"
"0912";"19";"PLGA";"2016-11-16 12:46:15";"2016-11-16 12:51:25";310;202,021986479398;"828";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479296769828.gpx"
"0910";"17";"PLGA";"2016-11-16 12:54:05";"2016-11-16 13:01:09";424;213,902646310939;"528";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479297240528.gpx"
"0904";"11";"PLGA";"2016-11-17 08:57:50";"2016-11-17 09:05:04";434;303,749895226497;"026";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479369453026.gpx"
"0906";"13";"PLGA";"2016-11-17 09:08:47";"2016-11-17 09:12:25";218;128,927230362365;"254";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479370123254.gpx"
"0908";"15";"PLGA";"2016-11-17 09:17:06";"2016-11-17 09:19:51";165;155,842930528931;"213";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479370623213.gpx"
"0894";"01";"PLGA";"2016-11-17 09:26:59";"2016-11-17 09:30:25";206;81,751118283637;"581";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371214581.gpx"
"0896";"03";"PLGA";"2016-11-17 09:32:42";"2016-11-17 09:37:46";304;154,866453090383;"441";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371557441.gpx"
"0898";"05";"PLGA";"2016-11-17 09:39:47";"2016-11-17 09:44:07";260;134,08929462546;"798";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479371982798.gpx"
"0900";"07";"PLGA";"2016-11-17 09:46:52";"2016-11-17 09:53:31";399;354,813939730111;"885";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479372402885.gpx"
